"scenario", "treatment", "ctime", "air.temp", "TAN.app", "man.dm", "man.ph", "app.mthd", "rain.cum", "app.rate.ni", "j"                , "er"                 , "shift"
         1, "AA"       ,     137,      6.1  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0128609068714454 , 0.331750180513309    ,    0
         1, "AA"       ,     138,      6.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0126208815442901 , 0.331953743118862    ,    0
         1, "AA"       ,     139,      6.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0123852939257283 , 0.332153505924116    ,    0
         1, "AA"       ,     140,      5.3  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0121539416294105 , 0.332349537240719    ,    0
         1, "AA"       ,     141,      6    ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0119271594816759 , 0.332541910780746    ,    0
         1, "AA"       ,     142,      7.9  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0117047402093213 , 0.332730696913154    ,    0
         1, "AA"       ,     143,      9.3  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0114864103570049 , 0.332915961596332    ,    0
         1, "AA"       ,     144,     10.4  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0112721128635478 , 0.333097769868325    ,    0
         1, "AA"       ,     145,     10.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0110616956486282 , 0.33327618431427     ,    0
         1, "AA"       ,     146,     10.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0108552126950698 , 0.333451268389997    ,    0
         1, "AA"       ,     147,     10.1  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0106525378887348 , 0.333623083517235    ,    0
         1, "AA"       ,     148,      9.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0104536641902833 , 0.333791691004175    ,    0
         1, "AA"       ,     149,      9.3  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0102585303644283 , 0.333957151171343    ,    0
         1, "AA"       ,     150,      9.3  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.010067065187183  , 0.334119523190491    ,    0
         1, "AA"       ,     151,      9.8  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00987920453654922, 0.334278865199145    ,    0
         1, "AA"       ,     152,     10.4  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00969485447265583, 0.334435233819672    ,    0
         1, "AA"       ,     153,     10.9  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00951393878005291, 0.334588684445157    ,    0
         1, "AA"       ,     154,     11.4  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00933639902706673, 0.334739271526238    ,    0
         1, "AA"       ,     155,     12    ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00916217658372531, 0.334887048567911    ,    0
         1, "AA"       ,     156,     12.3  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00899119257861614, 0.33503206780305     ,    0
         1, "AA"       ,     157,     12.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00882339711292346, 0.33517438065971     ,    0
         1, "AA"       ,     158,     12.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00865872843196769, 0.335314037569903    ,    0
         1, "AA"       ,     159,     12.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00849713888652559, 0.335451088197106    ,    0
         1, "AA"       ,     160,     12.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00833856444657499, 0.33558558117205     ,    0
         1, "AA"       ,     161,     12.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0081829518293759 , 0.335717564266072    ,    0
         1, "AA"       ,     162,     12.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00803024337489333, 0.335847084320506    ,    0
         1, "AA"       ,     163,     12.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.00788038902469523, 0.335974187369292    ,    0
